respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.055655215,0.292978017
26708,0.04700912,0.044683362
26709,0.414760401,0.593591153
26710,0.499529742,0.881395697
26711,0.163621413,0.471615975
26712,0.45945711,0.924305021
26713,0.341343056,0.578793427
26714,0.14634798,0.221340876
26715,0.040791387,0.153587774
26716,0.214941702,0.889616509
26717,0.011650854,0.273952638
26718,0.22073311,0.552107449
26719,0.074085847,0.918483764
26720,0.067512291,0.224861717
26721,0.315318811,0.343067997
26722,0.077836273,0.09267297
26723,0.670154097,0.858686109
26724,0.125082854,0.641873038
26725,0.025980377,0.065821033
26726,0.013113372,0.031600345
26727,0.355386424,0.850320942
26728,0.172736478,0.604590907
26729,0.435444542,0.911103629
26730,0.037406963,0.199131356
26731,0.019984104,0.345770119
26732,0.085672785,0.0705328
26733,0.921520827,0.95485745
26734,0.885692552,0.390930124
26735,0.152874903,0.48832978
26736,0.059363253,0.168565334
26737,0.083468375,0.102316885
26738,0.588287549,0.835590992
26739,0.122454646,0.278372477
26740,0.128226146,0.131350258
26741,0.209806794,0.903776951
26742,0.104089931,0.441000797
26743,0.044913254,0.572472342
26744,0.057949179,0.66552891
26745,0.107315636,0.937046551
26746,0.116009857,0.348566197
26747,0.070175362,0.179977796
26748,0.095329241,0.03394694
26749,0.108556718,0.704808632
26750,0.665924384,0.929222658
26751,0.308422875,0.725219137
26752,0.024870651,0.019066623
26753,0.223212391,0.691792181
26754,0.133011656,0.64481212
26755,0.093197273,0.364555343
26756,0.01924804,0.03292121
26757,0.38136091,0.505674684
26758,0.701018605,0.895998473
26759,0.039258947,0.223037958
26760,0.013456356,0.026626182
26761,0.166342835,0.609071602
26762,0.130586279,0.828203321
26763,0.898019888,0.971379334
26764,0.923780468,0.967783868
26765,0.030085175,0.69141761
26766,0.099358476,0.185130188
26767,0.775939867,0.760616681
26768,0.012433758,0.413922196
26769,0.117279911,0.159504432
26770,0.089338192,0.527020595
26771,0.048409567,0.194681125
26772,0.053780402,0.43326371
26773,0.013600966,0.482589815
26774,0.029470812,0.565135371
26775,0.080079466,0.524738866
26776,0.379213536,0.306090912
26777,0.105742934,0.948632238
26778,0.115878463,0.092350651
26779,0.127012805,0.520017756
26780,0.107557292,0.96481468
26781,0.041451395,0.477520806
26782,0.04700979,0.284857076
26783,0.067064371,0.311417609
26784,0.419242415,0.891047049
26785,0.337695142,0.573207419
26786,0.085743368,0.290562802
26787,0.096268241,0.490540677
26788,0.101289247,0.913104859
26789,0.011615031,0.236885199
26790,0.065037241,0.28778982
26791,0.079076165,0.125067505
26792,0.201046457,0.749202172
26793,0.121757129,0.900018395
26794,0.774959856,0.895730386
26795,0.049913947,0.958705784
26796,0.075920297,0.05918689
26797,0.110809865,0.644052542
26798,0.206728495,0.158817047
26799,0.261635905,0.206992822
26800,0.034733068,0.921438972
26801,0.254587197,0.407609349
